date,year,month,day,cluster_i,cluster_j,node_index
1991-06-01,1991,6,1,1,2,4
1991-06-02,1991,6,2,1,2,4
1991-06-03,1991,6,3,1,2,4
1991-06-04,1991,6,4,1,2,4
1991-06-05,1991,6,5,1,2,4
1991-06-06,1991,6,6,3,1,3
1991-06-07,1991,6,7,3,1,3
1991-06-08,1991,6,8,3,1,3
1991-06-09,1991,6,9,3,1,3
1991-06-10,1991,6,10,2,1,2
1991-06-11,1991,6,11,2,1,2
1991-06-12,1991,6,12,1,2,4
1991-06-13,1991,6,13,1,3,7
1991-06-14,1991,6,14,1,3,7
1991-06-15,1991,6,15,3,3,9
1991-06-16,1991,6,16,3,3,9
1991-06-17,1991,6,17,3,3,9
1991-06-18,1991,6,18,3,3,9
1991-06-19,1991,6,19,3,3,9
1991-06-20,1991,6,20,1,3,7
1991-06-21,1991,6,21,1,3,7
1991-06-22,1991,6,22,1,3,7
1991-06-23,1991,6,23,1,3,7
1991-06-24,1991,6,24,1,3,7
1991-06-25,1991,6,25,1,3,7
1991-06-26,1991,6,26,1,3,7
1991-06-27,1991,6,27,1,3,7
1991-06-28,1991,6,28,1,3,7
1991-06-29,1991,6,29,1,2,4
1991-06-30,1991,6,30,1,2,4
1991-07-01,1991,7,1,1,1,1
1991-07-02,1991,7,2,1,1,1
1991-07-03,1991,7,3,1,1,1
1991-07-04,1991,7,4,1,3,7
1991-07-05,1991,7,5,1,3,7
1991-07-06,1991,7,6,1,1,1
1991-07-07,1991,7,7,2,1,2
1991-07-08,1991,7,8,2,1,2
1991-07-09,1991,7,9,2,1,2
1991-07-10,1991,7,10,2,1,2
1991-07-11,1991,7,11,1,2,4
1991-07-12,1991,7,12,1,1,1
1991-07-13,1991,7,13,1,1,1
1991-07-14,1991,7,14,3,1,3
1991-07-15,1991,7,15,2,1,2
1991-07-16,1991,7,16,2,1,2
1991-07-17,1991,7,17,3,1,3
1991-07-18,1991,7,18,3,1,3
1991-07-19,1991,7,19,3,3,9
1991-07-20,1991,7,20,3,3,9
1991-07-21,1991,7,21,3,2,6
1991-07-22,1991,7,22,3,2,6
1991-07-23,1991,7,23,3,2,6
1991-07-24,1991,7,24,2,2,5
1991-07-25,1991,7,25,3,3,9
1991-07-26,1991,7,26,3,3,9
1991-07-27,1991,7,27,3,3,9
1991-07-28,1991,7,28,3,3,9
1991-07-29,1991,7,29,3,1,3
1991-07-30,1991,7,30,1,3,7
1991-07-31,1991,7,31,2,2,5
1991-08-01,1991,8,1,2,3,8
1991-08-02,1991,8,2,2,2,5
